WKT,nome,descrição
"POINT (-49.1239624 -25.381845)",Entregas: segunda-feira, 18h.
Agricultor: Marcelo,Newton Freire Maia
"POINT (-49.2153906 -25.4480968)",Entregas: quarta-feira, 14:30
Agricultor: Marcelo,IFPR Reitoria
"POINT (-49.2186251 -25.3267689)",Entregas: quarta-feira, 14h
Agricultor: Marcelo,IFPR Colombo
"POINT (-49.1971078 -25.343183)",Entregas: quinta-feira, 17h
Agricultor: Marcelo,João Ribeiro
"POINT (-49.2419987 -25.4453323)",Entregas: sexta-feira, 11:30
Agricultor: Valdevino,SETI
"POINT (-49.2387479 -25.4443199)",Entregas: sexta-feira, 11h.
Agricultor: Valdevino,AliMENTE-Saúde
"POINT (-49.2387513 -25.3882403)",Entregas: quinta-feira, 17h
Agricultor: Valdevino,CS Grão
"POINT (-49.3013664 -25.4485261)",Entregas: terça-feira, 12h
Agricultores: Isabele e Felipe,Editora
"POINT (-49.1899442 -25.4351839)",Entregas: terça-feira, 14h
Agricultores: Isabele e Felipe,Suiço
"POINT (-49.5228342 -25.4563937)",Entregas: quinta-feira, 10h
Agricultora: Janete,IFPR Campo Largo
"POINT (-49.0555081 -25.4501102)",Entregas: quarta-feira, 11h
Agricultora: Janaína,M Braga
"POINT (-49.3392658 -25.4141879)",Donizete,  4 consumidores,São Braz
